Nome,Biografia breve,Status di partigiano,Biografia,
Agostini Odoardo,"Di Guglielmo, nato a Civitella di Romagna, il 10 marzo 1924, ivi residente, terzo di sei figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 3 marzo al 15 aprile 1944.,"Caduto durante il Grande rastrellamento d'aprile. L'atto di notorietà redatto in data 23 aprile 1946, presso il Comune di Forlimpopoli, attesta essere ""morto in uno scontro coi nazi-fascisti il giorno 15 aprile 1944 in località la Scossa di San Paolo in Alpe"".",
Alboni Arnaldo,"Di Enrico. Nato a Forlì l'8 ottobre 1911, residente a Ravenna, manovale, coniugato e padre di due figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 giugno al 20 settembre 1944.,"Il 10 ottobre 1947 l'ufficio stralcio della 29° brigata stilava il verbale di irreperibilità: ""Durante uno scontro avvenuto in località Forlì contro forze nazi-fasciste il 20 settembre 1944 scomparve senza dare più notizie e non fu possibile identificarne la salma""",
Aldini Aldo Di Ettore,"Nato a Ravenna il 16 gennaio 1922, ivi residente, muratore, coniugato e padre di un figlio.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dall'11 febbraio al 15 aprile 1944.,"Catturato nel corso del rastrellamento d'aprile, (nei documenti non vi sono tracce del luogo dove fu detenuto né del trattamento riservatogli) venne fucilato al Campo d'aviazione di Forlì, unitamente ad altre 29 persone, il 5 settembre 1944.",
Alemanni Cesare,"Nato ad Alice Bel Colle (Al), 3 giugno 1944, residente a Moncalieri.","Non riconosciuto partigiano probabilmente per mancanza di documentazione. Al comune di Alice Bel Colle risulta trasferito a Moncalieri, il Comune di Moncalieri lo ha tra i propri iscritti ma non ha documenti.","Venne fucilato dai fascisti a Ponte Messa, di Casteldelci, assieme ad altri 7 partigiani, il 7 aprile 1944",
Alessandrini Alessandro Fu Giacomo,"Nato a Pieve di Rivoschio il 29 marzo 1880, ivi residente, colono, coniugato e padre di due figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 16 settembre 1943 al 21 agosto 1944.,"L'atto di notorietà, redatto il 3 maggio 1946 a Sarsina, attesta essere ""deceduto il 21 agosto 1944 in seguito a fucilazione da parte dei nazi-fascisti per rappresaglia durante un rastrellamento"". 
La mattina del 20 agosto fu prelevato da Pieve di Rivoschio da un reparto tedesco, portato sino alla Fornace di Meldola e rinchiuso in un locale assieme ad oltre 180 rastrellati. Il giorno dopo, selezionato perché abitante di Pieve di Rivoschio, fu costretto a scavarsi la fossa, e fucilato, per rappresaglia, assieme ad altre 17 persone.",
Alessandrini Gino Di Giovanni,"Nato a Casteldelci il 6 giugno 1909, agricoltore, coniugato e padre di 3 figli, residente a Tavolicci",Riconosciuto partigiano con ciclo operativo dal 22 aprile al 21 luglio 1944.,"Dopo aver assistito alla strage dei propri congiunti, delle donne e dei bambini di Tavolicci, fu trascinato in località Campo del Fabbro e qui fucilato dai fascisti, assieme ad altri nove capifamiglia di Tavolicci.",
Alfezzi Pietro Di Giovanni,"Nato a Predappio il 29 giugno 1904, residente a Forlì, coniugato e padre di un figlio.",Riconosciuto partigiano dell'8 brigata con ciclo operativo dall'11 febbraio al 5 settembre 1944.,"Impegnato nel servizio logistico dell'8° brigata Garibaldi, per la raccolta e l'invio di armi e materiali, fu scoperto e arrestato ai primi di agosto 1944. Trasportato nel carcere delle S.S. tedesche in via Salinatore, fu sottoposto a tortura. Il 5 settembre 1944 fu fucilato all'aereoporto di Forlì insieme ad altre 19 persone.",
"Alocchi Maria Fu Francesco,","nata a Pieve di Rivoschio il 21 febbraio 1898, e ivi residente, madre di tre figli",Riconosciuta partigiana dell'8° brigata con ciclo operativo dal 10 giugno al 23 ottobre 1944.,Staffetta. Il 23 settembre 1944 restava uccisa in un mitragliamento aereo su Rivoschio.,
Alpi Martino Fu Pietro,Nato a Marradi l'11 novembre 1924; residente a Marradi frazione di Crespino del Lamone.,Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 10 febbraio al 30 novembre 1944.,"Scomparso durante il Grande rastrellamento d'aprile. Il 10 ottobre 1947 veniva redatto verbale di irreperibilità: ""In seguito al combattimento del 14 aprile 1944 sul monte Falterona scomparve e non si seppe più nulla di lui e non fu possibile identificarne la salma""",
Amadori Edelwais Di Cesare,"Nato a Forlì il 6 novembre 1919, ivi residente, primo di tre fratelli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 15 maggio al 19 ottobre 1944.,"Apparteneva al servizio informazioni. ""Incaricato di passare le linee nemiche per informazioni di carattere militare rimase colpito da una granata"" a Piavola di Borello. Un'autoambulanza militare alleata lo condusse all'ospedale di Riccione dove decedeva il 30 ottobre 1944.",
